id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-04-10,0.045811616886788246,4.668969072164948,34.638147058823535,31.432399999999994,,1.059,23.195,6.596333333333334,33.10672413793104,,,14.184384615384614,,1.0,-0.4,0.8,7.0,35.552615379675856,
AS14.01,2014-04-11,0.05120751824898139,4.574617886178862,23.79605982905983,53.338,11.7986,,,8.575333333333333,45.90823076923077,34.234,,16.533375,,,-1.2,0.8,7.0,33.68772321726593,
AS14.01,2014-04-12,0.057274382983520396,4.38354,29.007658536585367,59.68214285714286,,,,11.290428571428572,44.072,5.031,,11.041791666666667,,,-0.75,0.75,7.0,37.83321953401334,
AS14.01,2014-04-13,0.014021328954370726,4.5390579710144925,31.289350000000002,62.348,6.537625,,,8.564454545454545,17.250999999999998,,,,,,-1.25,1.0,8.0,29.994225778887376,
AS14.01,2014-04-14,0.0691115971181695,3.9735963855421685,33.290263157894735,74.16055,10.0318,,,7.7764,45.3770625,14.552,,14.017636363636363,,1.0,-1.2,0.6,7.0,40.05318583429387,1.0
AS14.01,2014-04-15,0.07941553099808232,4.158004672897196,30.267599999999998,49.711684210526315,4.347666666666666,,,9.7194,49.718769230769226,8.363,,19.985214285714285,,1.0,0.0,0.8,7.0,37.45367794925884,1.0
AS14.01,2014-04-16,0.07074156182065376,4.436143884892086,24.474654135338344,23.707444444444445,,,,6.7973333333333334,49.54811111111111,,,22.3587,,,0.57,0.5933333333333334,7.0,33.205814565254364,1.0
AS14.01,2014-04-17,0.04441264108714234,4.094324074074074,29.315077777777777,28.448200000000003,,,,10.7526,33.62244444444444,,,16.572666666666667,,1.0,-0.4,0.6,7.0,36.85909091342581,
AS14.01,2014-04-18,0.06395418035282918,4.680016260162602,30.4464776119403,58.76025,10.582333333333333,,,6.827,20.138,21.291333333333334,,22.17,,1.0,-0.8,0.8,7.0,34.276849312325034,
AS14.01,2014-04-19,0.0868058857781561,3.982576576576576,31.76912,78.21233333333333,7.876399999999999,29.084,,6.2964,36.061090909090915,64.445,,9.772571428571428,,1.0,-0.2,1.0,8.0,38.04476057307822,
AS14.01,2014-04-20,0.057142601197968323,3.9032014925373133,36.251870129870134,60.62433333333333,5.303,,,6.8404,32.828199999999995,,,12.1035,,1.0,-0.25,0.75,7.0,45.822518997554546,1.0
AS14.01,2014-04-21,0.05300761738719654,5.051380952380952,27.723575,18.72,11.088666666666667,,,7.9205,26.776666666666667,22.759333333333334,,13.698333333333334,,1.0,-0.25,1.0,8.0,29.68888459755825,
AS14.01,2014-04-22,0.07062355487820195,4.404642424242424,31.495730088495574,31.322111111111113,6.408833333333333,,,10.526666666666666,44.138444444444445,,,20.153095238095236,,1.0,0.2,1.0,7.0,35.71991874426603,
AS14.01,2014-04-23,0.04598568913376553,4.374917910447762,29.13507534246575,38.603,6.0169999999999995,,,7.066333333333333,43.88316666666666,,,22.449454545454543,,1.0,0.2,1.0,8.0,35.94257462202613,
