id,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-02-27,,,,,,,,,,,,,,,0.0,0.3333333333333333,6.333333333333333,,
AS14.01,2014-03-23,0.14274111580506366,12.134396226415095,53.4420306122449,31.448666666666668,10.85075,,,12.137166666666667,50.04661111111111,,,30.086,30.386,,0.2,0.8,6.8,67.06764357868985,
AS14.01,2014-03-26,0.10130832167007592,8.460123188405797,47.061534031413615,130.06842857142857,8.721833333333334,,,16.249666666666666,124.1097027027027,,,33.365,,,-0.2,0.6,6.6,94.38966092159006,
AS14.01,2014-03-30,0.049092970521542,7.818207547169812,61.83357142857143,170.63077777777778,,,,12.333833333333333,55.895,,33.2385,38.296,,,-0.5,0.75,7.5,167.52644447927136,
AS14.01,2014-04-05,0.1190023022034455,163.00204301075271,37.70818,76.369,,,,11.590428571428571,45.401,31.324166666666667,,13.217333333333334,,,-0.4,0.6,6.8,53.022714285623465,
AS14.01,2014-04-11,0.07998620207306052,24.064507142857142,27.57514049586777,123.508625,15.682166666666667,,,8.575333333333333,45.90823076923077,34.234,,23.849777777777778,,,-1.2,0.8,7.0,85.58411382271994,
AS14.01,2014-04-12,0.07224906147031816,5.600851851851853,143.37136956521738,182.20683333333332,,,,11.290428571428572,44.072,5.031,,14.09568,,,-0.75,0.75,7.25,250.01721278657294,
AS14.01,2014-04-13,0.014021328954370726,6.301619718309859,47.68673913043479,62.348,9.157,,,8.564454545454545,17.250999999999998,,,,,,-1.25,1.0,8.0,57.307171406064725,
AS14.01,2014-04-27,0.030478923798963695,15.747731707317074,50.65620833333333,137.29281818181818,,,,105.66839999999999,13.735,,,10.056333333333333,,,0.0,1.0,7.5,107.5577735855895,
AS14.01,2014-04-29,0.10275824852950448,38.056928057553954,48.53981012658228,65.10554166666667,,166.6525,,8.0944,102.87125,20.991,,21.601894736842105,,,-0.25,1.0,7.0,77.1891372460945,
AS14.01,2014-05-02,0.07734101929677568,6.628633333333334,58.27880882352941,58.814666666666675,34.508,,,6.4886,45.36858823529411,,,5.5415,,,-0.2,1.0,7.6,120.70815200614929,
AS14.01,2014-05-04,0.13619180837703837,18.50987368421053,52.838890625000005,154.73433333333332,,,,7.1049999999999995,98.93539999999999,,,,,,-0.5,1.0,8.0,92.01867186650632,
AS14.01,2014-05-05,0.007842595452107337,13.283242424242424,37.58122727272727,318.514,,,,,25.104,,,66.08275,,,,,,137.594923074429,
