id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,circumplex.arousal,circumplex.valence,screen,mood
AS14.01,2014-02-26,0.030297661141421964,5.619643162298391,17.543730481234512,61.98394660349498,11.915962909685083,58.55831831379731,26.49773481020476,16.02427906313543,49.108732784366396,40.307241650303446,20.742070516350772,8.900211081403267,29.24898477272729,-0.25,0.75,23.328870747045485,6.0
AS14.01,2014-02-27,0.06335574953349905,5.5387349161650805,20.438577365965664,58.45306093918099,10.397126929292929,36.54214472035482,20.150752174011338,17.11889096347933,53.90234007584075,46.079931937430736,30.46565039935065,8.414002498899212,27.55719152777778,0.0,0.3333333333333333,25.764194574374418,6.0
AS14.01,2014-03-20,0.081547619047619,3.03665,32.05188235294117,58.476,16.04687877953323,85.8629267380952,21.19896797407951,5.6725,49.617,36.56475553571428,45.173,10.537,22.470961488095234,0.18050000000000005,0.8499999999999999,25.76860008239748,7.0
AS14.01,2014-03-21,0.0464081100263132,4.691907692307693,29.082061224489795,53.024,6.193,64.12640726190482,33.88,10.093,53.70869090909091,16.737299999999998,23.58735387662338,13.10324,20.589813545454543,0.2,0.2,37.65769662482016,6.0
AS14.01,2014-03-22,0.1530645247185708,4.84334065934066,25.05678048780488,46.662,7.025333333333333,31.04356106807083,16.205908146687285,10.094166666666666,36.636,37.305,32.52354755735931,26.594,27.21990817857143,0.6,0.5,28.571803414923515,7.0
AS14.01,2014-03-23,0.1305398153601469,4.473368421052632,30.81074712643678,31.448666666666668,10.85075,119.51870351190482,13.098036198751416,8.1208,38.20082352941176,30.560189682900432,26.2187524935065,30.086,30.386,0.2,0.8,39.51748353046375,7.0
AS14.01,2014-03-24,0.0554853332135615,3.891212121212121,28.90716393442624,11.714833333333331,5.684333333333334,81.4688851825397,3.01,11.093000000000002,36.83202702702703,8.751249999999999,36.42395188131311,10.064,18.51315502272727,0.0,0.0,37.01496629768543,6.0
AS14.01,2014-03-25,0.0523832945964019,4.037239130434783,31.78645238095238,34.103,10.7635,124.72789870268622,15.65065450632871,7.92,49.33012,24.75820560455486,11.363714285714286,22.2893,14.02531916666666,0.5,0.5,39.561105753366746,7.0
AS14.01,2014-03-26,0.0565890473688963,4.2712661290322576,26.61989655172414,110.42083333333332,8.721833333333334,73.46076275396827,36.93536047201921,11.305,47.22413333333333,37.77633223504272,22.842432470057712,33.365,19.05974465476191,-0.2,0.6,33.05777419305617,7.0
AS14.01,2014-03-27,0.0631497702659217,4.699851063829788,27.14611333333333,50.337375,14.073,139.26978429059832,10.383272727272727,9.755333333333333,36.730583333333335,23.657,21.610145200577207,16.275363636363636,15.947359940476188,0.2,0.8,40.54841463352606,7.0
AS14.01,2014-03-28,0.0403115445360604,5.29221551724138,24.078694444444444,66.49600000000001,12.738,116.518,18.654727593020922,11.5845,25.63705,24.85506666666667,16.534532923520928,16.35275,19.076017095238093,-0.6,0.6,31.137839499815023,7.0
AS14.01,2014-03-29,0.0521692457621263,4.544527027027027,30.58367924528302,49.41875,7.808973961459952,75.05016171489623,23.040578548864552,11.0978,59.111,17.47833333333333,15.165546198412706,19.51704347826087,15.713911261904759,0.2,1.0,31.22358823757544,8.0
AS14.01,2014-03-30,0.049092970521542,4.7873125,24.337222222222223,96.787,11.159216275197627,49.514651589635854,15.15128806990872,8.7268,55.895,39.00278274297923,33.2385,38.296,22.416917451298705,-0.5,0.75,24.47170002460481,8.0
AS14.01,2014-03-31,0.0469908276303643,4.6646,29.39821487603306,41.89787878787879,6.875833333333333,51.176,18.481147470578854,12.134285714285712,40.76777272727273,36.6762,29.29,12.370882352941177,22.59405131746032,0.0,0.6,35.048431193063024,7.0
AS14.01,2014-04-01,0.0603467983679304,3.8526008968609866,28.37908379888268,42.94320833333333,5.950967741935483,78.247,30.796000000000003,8.230333333333332,29.979528846153848,28.856125,18.851028609307363,14.53452,21.096804522727272,0.2,0.0,31.936631909177347,7.0
AS14.01,2014-04-02,0.1019166106382234,4.466841025641026,28.86402,46.32331034482758,6.294764705882352,78.75952811721615,22.26388117665228,5.5579375,34.853760869565214,33.24390125501358,16.238109642857147,11.561000000000002,21.83709997222223,0.3333333333333333,0.6666666666666666,34.01785427122259,6.0
AS14.01,2014-04-03,0.049238472708441,3.7569383259911895,29.070432624113472,49.75503846153846,6.516,96.65742292490846,24.833082283259305,8.710076923076922,34.71030434782609,19.082,18.6161496962482,14.059384615384618,16.588510987012988,-1.2,0.0,28.9906541655461,6.0
AS14.01,2014-04-04,0.0591195513385599,4.035772727272728,27.393125,70.59920000000001,8.880266578253124,60.81139265934068,22.24798162807815,9.792333333333334,39.56448,7.942833333333333,19.250219314935066,9.899384615384616,20.665346964285717,0.2,0.4,26.497690140361527,6.0
AS14.01,2014-04-05,0.0539062424976144,4.4832413793103445,26.267,76.369,8.781037647515253,75.13512142551893,14.699258392825563,8.630666666666666,45.401,31.324166666666667,21.69727202308803,13.217333333333334,20.84931703463203,-0.4,0.6,31.906983048228906,7.0
AS14.01,2014-04-06,0.0249638865044713,4.026923076923077,25.193451612903225,93.607,14.838558327724925,57.203,20.30146250085992,9.37475,30.9285,26.76064310743227,9.746149782828278,9.2498,16.187004880952383,-0.75,0.5,29.898275002837188,6.0
AS14.01,2014-04-07,0.0354823873123317,5.2049666666666665,26.22854954954955,28.981,9.2256,60.5415701660382,17.107,12.1755,39.85363636363636,60.247,46.970751670995675,2.532,24.231222446248204,-0.6666666666666666,0.25,27.47002884287101,6.0
AS14.01,2014-04-08,0.0631268345601101,4.338236486486486,24.326391061452515,66.44672222222222,6.377,83.70619342490843,20.09103400422293,8.402000000000001,25.924775,24.24447278707332,18.68726501443002,18.0715,17.459979761904766,-0.4,0.3333333333333333,29.20892147618439,7.0
AS14.01,2014-04-09,0.0638439128511816,4.4807625,27.47167320261438,78.3975,7.979942072097227,83.70546107203909,18.4384311582411,7.042666666666666,35.22332786885246,24.458938696969685,13.988476191919194,15.6975,15.868993809523804,-0.8,1.0,35.221825850143865,7.0
AS14.01,2014-04-10,0.0458116168867882,4.668969072164948,34.638147058823535,31.4324,7.369272841820279,1.059,23.195,6.596333333333334,33.10672413793104,36.91048552632097,34.10825009920636,14.184384615384614,32.53968781746031,-0.4,0.8,35.552615379675856,7.0
AS14.01,2014-04-11,0.0512075182489813,4.574617886178862,23.79605982905983,53.338,11.7986,104.42432031379731,12.176714830427484,8.575333333333333,45.90823076923077,34.234,20.45756720923521,16.533375,16.462432738095234,-1.2,0.8,33.68772321726593,7.0
AS14.01,2014-04-12,0.0572743829835203,4.38354,29.007658536585367,59.68214285714286,11.55071483463646,65.36018282539682,25.703391357547144,11.290428571428572,44.072,5.031,21.61645193722945,11.041791666666668,13.5642368560606,-0.75,0.75,37.83321953401334,7.0
AS14.01,2014-04-13,0.0140213289543707,4.5390579710144925,31.28935,62.348,6.537625,147.68807994871813,25.576116441478366,8.564454545454545,17.250999999999998,32.52884444415029,18.33560943253969,13.261686661781642,21.156641857142848,-1.25,1.0,29.994225778887376,8.0
