id,variable,date,value
AS14.01,activity,2014-03-20,0.08154761904761905
AS14.01,activity,2014-03-21,0.046408110026313246
AS14.01,activity,2014-03-22,0.15306452471857085
AS14.01,activity,2014-03-23,0.13053981536014692
AS14.01,activity,2014-03-24,0.05548533321356159
AS14.01,activity,2014-03-25,0.05238329459640197
AS14.01,activity,2014-03-26,0.05658904736889636
AS14.01,activity,2014-03-27,0.06314977026592179
AS14.01,activity,2014-03-28,0.04031154453606045
AS14.01,activity,2014-03-29,0.05216924576212633
AS14.01,activity,2014-03-30,0.049092970521542
AS14.01,activity,2014-03-31,0.04699082763036437
AS14.01,activity,2014-04-01,0.060346798367930485
AS14.01,activity,2014-04-02,0.10191661063822348
AS14.01,activity,2014-04-03,0.04923847270844108
AS14.01,activity,2014-04-04,0.05911955133855992
AS14.01,activity,2014-04-05,0.05390624249761441
AS14.01,activity,2014-04-06,0.024963886504471334
AS14.01,activity,2014-04-07,0.035482387312331706
AS14.01,activity,2014-04-08,0.06312683456011013
AS14.01,activity,2014-04-09,0.06384391285118166
AS14.01,activity,2014-04-10,0.045811616886788246
AS14.01,activity,2014-04-11,0.05120751824898139
AS14.01,activity,2014-04-12,0.057274382983520396
AS14.01,activity,2014-04-13,0.014021328954370726
AS14.01,activity,2014-04-14,0.0691115971181695
AS14.01,activity,2014-04-15,0.07941553099808232
AS14.01,activity,2014-04-16,0.07074156182065376
AS14.01,activity,2014-04-17,0.04441264108714234
AS14.01,activity,2014-04-18,0.06395418035282918
AS14.01,activity,2014-04-19,0.0868058857781561
AS14.01,activity,2014-04-20,0.057142601197968323
AS14.01,activity,2014-04-21,0.05300761738719654
AS14.01,activity,2014-04-22,0.07062355487820195
AS14.01,activity,2014-04-23,0.04598568913376553
AS14.01,activity,2014-04-24,0.03514993809395457
AS14.01,activity,2014-04-25,0.08141536789343364
AS14.01,activity,2014-04-26,0.034928999527391855
AS14.01,activity,2014-04-27,0.030478923798963695
AS14.01,activity,2014-04-28,0.0196753225383989
AS14.01,activity,2014-04-29,0.05041256538922342
AS14.01,activity,2014-04-30,0.06245826014021426
AS14.01,activity,2014-05-01,0.03706526814765703
AS14.01,activity,2014-05-02,0.04245997627415716
AS14.01,activity,2014-05-03,0.07174088489517204
AS14.01,activity,2014-05-04,0.03654453306746425
AS14.01,activity,2014-05-05,0.007842595452107337
AS14.01,appCat.builtin,2014-03-20,3.03665
AS14.01,appCat.builtin,2014-03-21,4.691907692307693
AS14.01,appCat.builtin,2014-03-22,4.84334065934066
AS14.01,appCat.builtin,2014-03-23,4.473368421052632
AS14.01,appCat.builtin,2014-03-24,3.891212121212121
AS14.01,appCat.builtin,2014-03-25,4.0372391304347826
AS14.01,appCat.builtin,2014-03-26,4.2712661290322576
AS14.01,appCat.builtin,2014-03-27,4.6998510638297875
AS14.01,appCat.builtin,2014-03-28,5.29221551724138
AS14.01,appCat.builtin,2014-03-29,4.544527027027027
AS14.01,appCat.builtin,2014-03-30,4.7873125
AS14.01,appCat.builtin,2014-03-31,4.6646
AS14.01,appCat.builtin,2014-04-01,3.8526008968609866
AS14.01,appCat.builtin,2014-04-02,4.466841025641026
AS14.01,appCat.builtin,2014-04-03,3.7569383259911895
